,Aceite_Prima_1L,Aceite_Cocinero,Harina_Nicolini,Harina_Blanca_F,Jabon_Bolivar,Shampoo_Plusbelle,Alacena_Mayo,Ketchup_AlaCena
2024-10-21,439.0,411.0,375.0,305.0,326.0,292.0,267.0,228.0
2024-10-28,413.0,361.0,377.0,297.0,318.0,277.0,266.0,227.0
2024-11-04,411.0,390.0,327.0,304.0,294.0,263.0,254.0,219.0
2024-11-11,421.0,366.0,327.0,288.0,312.0,283.0,253.0,209.0
2024-11-18,425.0,383.0,377.0,299.0,297.0,283.0,256.0,232.0
2024-11-25,417.0,379.0,357.0,292.0,321.0,290.0,264.0,224.0
2024-12-02,413.0,379.0,334.0,297.0,298.0,276.0,260.0,216.0
2024-12-09,579.0,496.0,485.0,385.0,433.0,382.0,347.0,298.0
2024-12-16,542.0,512.0,425.0,397.0,407.0,378.0,342.0,295.0
2024-12-23,580.0,534.0,468.0,386.0,412.0,379.0,354.0,291.0
2024-12-30,413.0,361.0,350.0,287.0,302.0,270.0,254.0,219.0
